,Title,desc,product_type,Image Src,found
42,Georgette Off white Embroidery Fabric,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_42.jpg,y
44,Net Off White Embroidery Fabric,,Embroidered Net,./images/askdevi_44.jpg,y
46,Cotton Embroidered Cream Fabric,<p>Cotton Chander  Fabric</p>,Embroidered Cotton,./images/askdevi_46.jpg,y
48,Slub Silk Jal White Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_48.jpg,y
50,Chinnon Wine Embroidery Fabric,<p><br></p>,Embroidered Chinon Chiffon,./images/askdevi_50.jpg,y
52,Chinnon Red Embroidery Fabric,<p><br></p>,Embroidered Chinon Chiffon,./images/askdevi_52.jpg,y
54,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_54.jpg,y
56,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_56.jpg,y
58,Chanderi  Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_58.jpg,y
60,Chanderi  Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_60.jpg,y
62,Chanderi  Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_62.jpg,y
64,Chanderi  Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_64.jpg,y
66,Georgette Embroidery Fabric,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_66.jpg,y
68,Chinnon Chiffon Embroidery Fabric,,Embroidered Chinon Chiffon,./images/askdevi_68.jpg,y
70,Chinnon Chiffon Embroidery Fabric,,Embroidered Chinon Chiffon,./images/askdevi_70.jpg,y
72,Chinnon Chiffon Embroidery Fabric,,Embroidered Chinon Chiffon,./images/askdevi_72.jpg,y
74,Chinnon Chiffon Embroidery Fabric,,Embroidered Chinon Chiffon,./images/askdevi_74.jpg,y
76,Upada Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_76.jpg,y
78,Upada Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_78.jpg,y
80,Shimmer Georgette Embroidery Fabric,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_80.jpg,y
82,Organza Embroidery Fabric,"<p>Organza is a light sheer fabric that was originally made from silk. The modernized version of the fabric however, can be created not only with silk but also polyester or nylon, or even a blend of the three. While the look and feel is similar to silk, it is a lot thinner and is made of a plain weave. Organza is also known for being a lightweight material as well as being a crisp and stiff fabric. Our organza embroideries range in various different colours of the base fabric, having various patters and designs with work of sequins , silk and viscose thread work and zari.</p>",Embroidered Organza,./images/askdevi_82.jpg,y
84,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_84.jpg,y
86,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_86.jpg,y
88,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_88.jpg,y
90,Net  Embroidery Fabric,,Embroidered Net,./images/askdevi_90.jpg,y
92,Organza Embroidery Fabric,"<p>Organza is a light sheer fabric that was originally made from silk. The modernized version of the fabric however, can be created not only with silk but also polyester or nylon, or even a blend of the three. While the look and feel is similar to silk, it is a lot thinner and is made of a plain weave. Organza is also known for being a lightweight material as well as being a crisp and stiff fabric. Our organza embroideries range in various different colours of the base fabric, having various patters and designs with work of sequins , silk and viscose thread work and zari.</p>",Embroidered Organza,./images/askdevi_92.jpg,y
95,Organza Embroidery Fabric,"<p>Organza is a light sheer fabric that was originally made from silk. The modernized version of the fabric however, can be created not only with silk but also polyester or nylon, or even a blend of the three. While the look and feel is similar to silk, it is a lot thinner and is made of a plain weave. Organza is also known for being a lightweight material as well as being a crisp and stiff fabric. Our organza embroideries range in various different colours of the base fabric, having various patters and designs with work of sequins , silk and viscose thread work and zari.</p>",Embroidered Organza,./images/askdevi_95.jpg,y
97,Organza Embroidery Fabric,"<p>Organza is a light sheer fabric that was originally made from silk. The modernized version of the fabric however, can be created not only with silk but also polyester or nylon, or even a blend of the three. While the look and feel is similar to silk, it is a lot thinner and is made of a plain weave. Organza is also known for being a lightweight material as well as being a crisp and stiff fabric. Our organza embroideries range in various different colours of the base fabric, having various patters and designs with work of sequins , silk and viscose thread work and zari.</p>",Embroidered Organza,./images/askdevi_97.jpg,y
99,Pleated Printed Georgette Off White With Blue Fabric.,,Pleated Georgette,./images/askdevi_99.jpg,y
101,Pleated Printed Georgette Off White With Sky Blue Fabric.,,Pleated Georgette,./images/askdevi_101.jpg,y
103,Pleated Printed Georgette Off White  Fabric.,,Pleated Georgette,./images/askdevi_103.jpg,y
105,Pleated Printed Georgette Blue with Black  Fabric.,,Pleated Georgette,./images/askdevi_105.jpg,y
107,Pleated Printed Georgette Black Fabric.,,Pleated Georgette,./images/askdevi_107.jpg,y
109,Pleated Printed Georgette Multicolour Fabric.,,Pleated Georgette,./images/askdevi_109.jpg,y
111,Pleated Printed Georgette Black Fabric.,,Pleated Georgette,./images/askdevi_111.jpg,y
113,Pleated Printed Georgette Purple Fabric,,Pleated Georgette,./images/askdevi_113.jpg,y
115,Pleated Printed Georgette Red Fabric,,Pleated Georgette,./images/askdevi_115.jpg,y
117,Pleated Printed Georgette White With Black Fabric,,Pleated Georgette,./images/askdevi_117.jpg,y
119,Pleated Printed Georgette Yellow Fabric,,Pleated Georgette,./images/askdevi_119.jpg,y
121,Leather Pleated Silver lycra,,Pleated Georgette,./images/askdevi_121.jpg,y
123,Leather Pleated Gold lycra,,Pleated Georgette,./images/askdevi_123.jpg,y
125,Leather Pleated Copper lycra,,Pleated Georgette,./images/askdevi_125.jpg,y
127,Leather Pleated Light Gold lycra,,Pleated Georgette,./images/askdevi_127.jpg,y
129,Leather Pleated Grey lycra,,Pleated Georgette,./images/askdevi_129.jpg,y
131,Leather Pleated Black lycra,,Pleated Georgette,./images/askdevi_131.jpg,y
133,Georgette  Embroidery Off White Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_133.jpg,y
135,Georgette  Embroidery Off White Fabric.,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_135.jpg,y
137,Georgette  Embroidery Off White Fabric.,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_137.jpg,y
139,Georgette Abla Embroidery  White Fabric.,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_139.jpg,y
141,Georgette Embroidery  White Fabric.,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_141.jpg,y
143,Georgette Sequence Embroidery  White Fabric.,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_143.jpg,y
145,Georgette Lucknawi Embroidery Off White Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_145.jpg,y
147,Georgette Lucknawi Embroidery Off White Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_147.jpg,y
149,Georgette  Embroidery Off White Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_149.jpg,y
151,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_151.jpg,y
153,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_153.jpg,y
155,Slub Silk  Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_155.jpg,y
157,Slub Silk  Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_157.jpg,y
159,Chanderi Sundery Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_159.jpg,y
161,Cotton Embroidry Fabric,<p>Cotton Chander  Fabric</p>,Embroidered Cotton,./images/askdevi_161.jpg,y
163,Cotton Embroidry Fabric,<p>Cotton Embroidered  Fabric</p>,Embroidered Cotton,./images/askdevi_163.jpg,y
165,Chanderi Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_165.jpg,y
167,Chanderi Embroidery Fabric,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_167.jpg,y
169,Chanderi Embroidery Fabric.,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_169.jpg,y
171,Chanderi Embroidery Fabric.,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_171.jpg,y
173,Chanderi Embroidery Fabric.,"<p>A beautiful blend of Cotton, Silk thread and zari results to Chanderi fabric. Chanderi fabric comes from a small town, Chanderi town in Madhya Pradesh. The fabric is a result of traditional methods of hand weaving that have been developed over the centuries and passed down through generations. Create your own designs by selecting our Chanderi embroideries in different shades of pastels and earthy colours, with a work of different embroidered coloured threads, patterns and designs.</p>",Embroidered Chanderi,./images/askdevi_173.jpg,y
175,Cotton Lurex Linen Fabric,"<p><b>Linen Embroidered</b><span> </span><span>is lightweight, durable, and features gorgeous designs. ... For Eyelet </span><b>cloth</b><span>, holes are punched and reinforced into the material and finished with stitching. These gorgeous </span><b>fabrics</b><span> are perfect for creating elegant skirts, blouses, and lined dresses.</span></p>",Embroidered Linen,./images/askdevi_175.jpg,y
177,Cotton Lurex Linen Fabric,"<p><b>Linen Embroidered</b><span> </span><span>is lightweight, durable, and features gorgeous designs. ... For Eyelet </span><b>cloth</b><span>, holes are punched and reinforced into the material and finished with stitching. These gorgeous </span><b>fabrics</b><span> are perfect for creating elegant skirts, blouses, and lined dresses.</span></p>",Embroidered Linen,./images/askdevi_177.jpg,y
179,Munga Silk Jal Cream Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_179.jpg,y
181,Munga Silk Jal Cream Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_181.jpg,y
183,Georgette White  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Embroidered Georgette,./images/askdevi_183.jpg,y
185,Chinnon White Embroidery Fabric,<p><br></p>,Embroidered Chinon Chiffon,./images/askdevi_185.jpg,y
187,Chinnon White Embroidery Fabric,<p><br></p>,Embroidered Chinon Chiffon,./images/askdevi_187.jpg,y
189,Slub White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_189.jpg,y
191,Slub White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_191.jpg,y
193,Slub White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_193.jpg,y
195,Benarsi Dola White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_195.jpg,y
197,Dola Zari Buti White Silk Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_197.jpg,y
199,Cotton Off White Fabric.,<p>Cotton   Fabric</p>,Embroidered Cotton,./images/askdevi_199.jpg,y
203,Cotton Jute Off White Printed Fabric,<p> Cotton Fabric</p>,Cotton Printed,./images/askdevi_203.jpg,y
205,Cotton Jute Off White Printed Fabric,<p> Cotton Fabric</p>,Cotton Printed,./images/askdevi_205.jpg,y
207,Slub Silk Lilac  Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_207.jpg,y
209,Slub Silk Neavy Blue  Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_209.jpg,y
211,Slub Silk Pastel Green  Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_211.jpg,y
213,Slub Silk Nude Pink  Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_213.jpg,y
215,Chinnon Teal Blue Embroidery Fabric,<p><br></p>,Embroidered Chinon Chiffon,./images/askdevi_215.jpg,y
217,Slub Silk Sea Green Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_217.jpg,y
219,Georgette Pink Embroidery Fabric,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_219.jpg,y
221,Georgette Grey Embroidery Fabric.,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_221.jpg,y
223,Georgette Green Embroidery Fabric.,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_223.jpg,y
225,Georgette Blue Embroidery Fabric.,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Embroidered Georgette,./images/askdevi_225.jpg,y
227,Slub Silk Abla Maroon Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_227.jpg,y
229,Slub Silk Abla Black Embroidery Fabric,,Embroidered Raw Silk,./images/askdevi_229.jpg,y
231,Brocade Black Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_231.jpg,y
233,Brocade Red Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_233.jpg,y
235,Satin Georgette Tye and dye Off White Fabric,<p><br></p>,Georgette Printed,./images/askdevi_235.jpg,y
237,Satin Georgette Tye and dye Off White Fabric,<p><br></p>,Georgette Printed,./images/askdevi_237.jpg,y
239,Satin Georgette Tye and dye Pastel Pink Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_239.jpg,y
241,Satin Georgette Tye and dye Sky Blue Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_241.jpg,y
243,Satin Georgette Tye and dye  Blue Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_243.jpg,y
245,Satin Georgette Tye and dye  Blue Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_245.jpg,y
247,Satin Georgette Tye and dye  Brown Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_247.jpg,y
249,Satin Georgette Tye and dye  Green Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_249.jpg,y
251,Satin Georgette Tye and dye  Black Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_251.jpg,y
253,Satin Georgette Tye and dye  Off White Fabric.,<p><br></p>,Georgette Printed,./images/askdevi_253.jpg,y
255,Satin Georgette Tye and dye  Pink Fabric,<p><br></p>,Georgette Printed,./images/askdevi_255.jpg,y
257,Satin Georgette Tye and dye  Red Fabric,<p><br></p>,Georgette Printed,./images/askdevi_257.jpg,y
259,Satin Georgette Tye and dye Peach Fabric,<p><br></p>,Georgette Printed,./images/askdevi_259.jpg,y
261,Satin Georgette Tye and dye Off White Fabric,<p><br></p>,Georgette Printed,./images/askdevi_261.jpg,y
263,Satin Georgette Tye and dye Blue Fabric,<p><br></p>,Georgette Printed,./images/askdevi_263.jpg,y
265,Satin Georgette Tye and dye Yellow Fabric,<p><br></p>,Georgette Printed,./images/askdevi_265.jpg,y
267,Satin Georgette Tye and dye Pink Fabric,<p><br></p>,Georgette Printed,./images/askdevi_267.jpg,y
269,Silk Blue Printed Fabric,,Silk Printed,./images/askdevi_269.jpg,y
271,Pleated Velvet English Beige Fabric.,,Pleated Georgette,./images/askdevi_271.jpg,y
273,Pleated Velvet Red Fabric.,,Pleated Georgette,./images/askdevi_273.jpg,y
275,Pleated Velvet Turquoise Green Fabric.,,Pleated Georgette,./images/askdevi_275.jpg,y
277,Pleated Velvet Black Fabric.,,Pleated Georgette,./images/askdevi_277.jpg,y
279,Pleated Velvet Pastel Blue Fabric.,,Pleated Georgette,./images/askdevi_279.jpg,y
281,Pleated Velvet Pastel Pink Fabric.,,Pleated Georgette,./images/askdevi_281.jpg,y
283,Pleated Velvet Neavy Blue Fabric.,,Pleated Georgette,./images/askdevi_283.jpg,y
285,Pleated Printed Georgette White Fabric.,,Pleated Georgette,./images/askdevi_285.jpg,y
287,Pleated Printed Georgette Blue Fabric.,,Pleated Georgette,./images/askdevi_287.jpg,y
289,Pleated Printed Georgette White Fabric.,,Pleated Georgette,./images/askdevi_289.jpg,y
291,Pleated Printed Georgette White Fabric.,,Pleated Georgette,./images/askdevi_291.jpg,y
294,Cotton Pashmina Neavy Blue Printed Fabric,<p> Cotton Fabric</p>,Cotton Printed,./images/askdevi_294.jpg,y
296,Cotton  Silk Benaras Sky Blue Embroidery Fabric.,,Embroidered Raw Silk,./images/askdevi_296.jpg,y
298,Cotton Linen Off White Printed Fabric,<p>Linen Printed Fabric</p>,Linen Printed,./images/askdevi_298.jpg,y
300,Linen Off White Printed Fabric,<p>Linen Printed Fabric</p>,Linen Printed,./images/askdevi_300.jpg,y
302,Slub Silk  Light Peach Printed Fabric,,Silk Printed,./images/askdevi_302.jpg,y
304,Banarasi Yellow  Brocade Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_304.jpg,y
306,Banarasi Orange  Brocade Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_306.jpg,y
308,Banarasi Black  Brocade Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_308.jpg,y
310,Organza Green Embroidery Fabric,"<p>Organza is a light sheer fabric that was originally made from silk. The modernized version of the fabric however, can be created not only with silk but also polyester or nylon, or even a blend of the three. While the look and feel is similar to silk, it is a lot thinner and is made of a plain weave. Organza is also known for being a lightweight material as well as being a crisp and stiff fabric. Our organza embroideries range in various different colours of the base fabric, having various patters and designs with work of sequins , silk and viscose thread work and zari.</p>",Embroidered Organza,./images/askdevi_310.jpg,y
312,Cotton Satin Grey  Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_312.jpg,y
314,Cotton Satin Blue  Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_314.jpg,y
316,Cotton Satin Green  Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_316.jpg,y
318,Modal Satin Reddish Pink  Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_318.jpg,y
320,Satin Linen Multi yellow Printed Fabric,<p>Modal Satin Printed Fabric</p>,Printed Satin Linen,./images/askdevi_320.jpg,y
323,Satin Linen Blue  Printed Fabric,<p>Satin Printed Fabric</p>,Printed Satin Linen,./images/askdevi_323.jpg,y
325,Cotton Satin Pastel Blue  Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_325.jpg,y
327,Cotton Satin Grey Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_327.jpg,y
329,Cotton Tusser  Light Purple  Print.,,Tusser Printed,./images/askdevi_329.jpg,y
331,Satin Linen Red Printed Fabric,<p> Satin Linen Printed Fabric</p>,Printed Satin Linen,./images/askdevi_331.jpg,y
333,Satin Linen Multi  Printed Fabric,<p> Satin Linen Printed Fabric</p>,Printed Satin Linen,./images/askdevi_333.jpg,y
335,Cotton Satin Light Brown Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_335.jpg,y
337,Silk Peacock Green Prints,<p>Dupion Silk Foil Prints</p>,Silk Printed,./images/askdevi_337.jpg,y
339,Modal Satin Teal Blue  Printed Fabric,<p>Modal Satin Printed Fabric</p>,Printed Satin Linen,./images/askdevi_339.jpg,y
341,Cotton Satin White Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_341.jpg,y
343,Kundan Zari Black Brocade Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_343.jpg,y
345,Benarasi Off White Brocade Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_345.jpg,y
347,Linen White Peach Printed Fabric,<p>Linen Printed Fabric</p>,Linen Printed,./images/askdevi_347.jpg,y
349,Cotton Silk Banaras Lilac Fabric,,Embroidered Raw Silk,./images/askdevi_349.jpg,y
351,Cotton Silk Banaras Green Fabric,,Embroidered Raw Silk,./images/askdevi_351.jpg,y
353,Cotton Satin Peach Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_353.jpg,y
355,Cotton Satin Peach Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Cotton Satin Printed,./images/askdevi_355.jpg,y
357,Banarasi Red  Brocade Fabric,<p>Banarasi Brocade Fabric</p>,Brocade,./images/askdevi_357.jpg,y
