Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
georgette-fabric-1,Georgette Embroidered Fabric,,Saroj Fabrics,Apparel & Accessories,Embroidered Georgette,"50%discount, FABRICS, ready",TRUE,Title,Default Title,,,,,S853570,0,shopify,16,deny,manual,337.5,637.5,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_1.jpg?v=1642856393,1,,FALSE,,,,,,,,,,,,,,,,,kg,,,active
georgette-fabric-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01.jpg?v=1642856423,2,,,,,,,,,,,,,,,,,,,,,,
net-embroidery-fabric-4,Net  Embroidery Fabric,,Saroj Fabrics,,Embroidered Net,"44 Inch, 50%discount, Embroidered, Embroidered Net, FABRICS, Net, Normal, ready",TRUE,Title,Default Title,,,,,S853570,60,shopify,16,deny,manual,337.5,637.5,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_2.jpg?v=1642861698,1,,FALSE,Buy Golden Simmer Net With Stone Work Embroidery Fabric Online,"Gold Net With Red Thread Flowers Plus Sequins & Zari Embroidery Fabric. Net or netting is any textile in which the yarns are fused, looped or knotted at their intersections, resulting in a fabric with open spaces between the yarns. Net has many uses, and come in different varieties. Get our net embroideries and open yourself to a new creative aura of embroidered patterns of florals, geomet",,,,,,,,,,,,,,,g,,,active
net-embroidery-fabric-4,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_3.jpg?v=1642861749,2,,,,,,,,,,,,,,,,,,,,,,
net-embroidery-fabric-5,Net  Embroidery Fabric,,Saroj Fabrics,,Embroidered Net,"44 Inch, 50%discount, Embroidered, Embroidered Net, FABRICS, Net, Normal, ready",TRUE,Title,Default Title,,,,,S853570,60,shopify,16,deny,manual,337.5,637.5,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_4.jpg?v=1642862159,1,,FALSE,Buy Golden Simmer Net With Stone Work Embroidery Fabric Online,"Gold Net With Red Thread Flowers Plus Sequins & Zari Embroidery Fabric. Net or netting is any textile in which the yarns are fused, looped or knotted at their intersections, resulting in a fabric with open spaces between the yarns. Net has many uses, and come in different varieties. Get our net embroideries and open yourself to a new creative aura of embroidered patterns of florals, geomet",,,,,,,,,,,,,,,g,,,active
net-embroidery-fabric-5,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_5.jpg?v=1642862200,2,,,,,,,,,,,,,,,,,,,,,,
net-embroidery-fabric-6,Net  Embroidery Fabric,,Saroj Fabrics,,Embroidered Net,"44 Inch, 50%discount, Embroidered, Embroidered Net, FABRICS, Net, Normal, ready",TRUE,Title,Default Title,,,,,S853570,60,shopify,16,deny,manual,337.5,637.5,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_6.jpg?v=1642862584,1,,FALSE,Buy Golden Simmer Net With Stone Work Embroidery Fabric Online,"Gold Net With Red Thread Flowers Plus Sequins & Zari Embroidery Fabric. Net or netting is any textile in which the yarns are fused, looped or knotted at their intersections, resulting in a fabric with open spaces between the yarns. Net has many uses, and come in different varieties. Get our net embroideries and open yourself to a new creative aura of embroidered patterns of florals, geomet",,,,,,,,,,,,,,,g,,,active
net-embroidery-fabric-6,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_7.jpg?v=1642862652,2,,,,,,,,,,,,,,,,,,,,,,
georgette-embroidery-fabric-10,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Saroj Fabrics,,Embroidered Georgette,"44 Inch, 50% discount, Embroidered, Embroidered Georgette, FABRICS, Georgette, Georgette Lucknowi, New, New Jan 2021, ready",TRUE,Title,Default Title,,,,,S853570,60,shopify,16,deny,manual,337.5,637.5,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_8.jpg?v=1642863255,1,,FALSE,Buy Georgette Luckhnowi Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
georgette-embroidery-fabric-10,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.01_9.jpg?v=1642863290,2,,,,,,,,,,,,,,,,,,,,,,
georgette-embroidery-fabric-11,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Saroj Fabrics,,Embroidered Georgette,"44 Inch, 50% discount, Embroidered, Embroidered Georgette, FABRICS, Georgette, Georgette Lucknowi, New, New Jan 2021, ready",TRUE,Title,Default Title,,,,,,60,shopify,0,deny,manual,337.5,637.5,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.08.jpg?v=1642863557,1,,FALSE,Buy Georgette Luckhnowi Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
georgette-embroidery-fabric-11,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.08_1.jpg?v=1642863595,2,,,,,,,,,,,,,,,,,,,,,,
cotton-satin-grey-printed-fabric-2,Cotton Satin Grey Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Saroj Fabrics,,Cotton Satin Printed,"Cotton Satin, Cotton Satin Printed, FABRICS, grey, New July, Normal, ready",TRUE,Title,Default Title,,,,,GK339099,40,shopify,10,deny,manual,287.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_1.jpg?v=1643028165,1,,FALSE,Buy Cotton Satin Printed Fabric Online,,,,,,,,,,,,,,,,g,,,active
cotton-satin-grey-printed-fabric-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58.jpg?v=1643028196,2,,,,,,,,,,,,,,,,,,,,,,
cotton-satin-white-printed-fabric-1,Cotton Satin White Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Saroj Fabrics,,Cotton Satin Printed,"Cotton Satin, Cotton Satin Printed, FABRICS, New July, Normal, ready, white",TRUE,Title,Default Title,,,,,GK339099,40,shopify,16,deny,manual,287.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_2.jpg?v=1643028845,1,,FALSE,Buy Cotton Satin Printed Fabric Online,,,,,,,,,,,,,,,,g,,,active
cotton-satin-white-printed-fabric-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_3.jpg?v=1643028864,2,,,,,,,,,,,,,,,,,,,,,,
cotton-satin-blue-tye-dye-printed-fabric,Cotton Satin Blue Tye Dye Printed Fabric,<p>Cotton Satin Printed Fabric</p>,Saroj Fabrics,,Cotton Satin Printed,"blue, Cotton Satin, Cotton Satin Printed, FABRICS, New July, Normal, ready",TRUE,Title,Default Title,,,,,GK334545,40,shopify,10,deny,manual,237.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_5.jpg?v=1643029155,1,,FALSE,Buy Cotton Satin Printed Fabric Online,,,,,,,,,,,,,,,,g,,,active
cotton-satin-blue-tye-dye-printed-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_4.jpg?v=1643029168,2,,,,,,,,,,,,,,,,,,,,,,
cotton-satin-green-printed-fabric-1,Cotton Satin Green Printed Fabric.,<p>Cotton Satin Printed Fabric</p>,Saroj Fabrics,,Cotton Satin Printed,"Cotton Satin, Cotton Satin Printed, FABRICS, green, New July, Normal, ready",TRUE,Title,Default Title,,,,,GK334545,40,shopify,16,deny,manual,237.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_6.jpg?v=1643030650,1,,FALSE,Buy Cotton Satin Printed Fabric Online,,,,,,,,,,,,,,,,g,,,active
cotton-satin-green-printed-fabric-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_7.jpg?v=1643030664,2,,,,,,,,,,,,,,,,,,,,,,
satin-linen-neavy-blue-printed-fabric,Satin Linen Neavy Blue Printed Fabric,<p>Modal Satin Printed Fabric</p>,Saroj Fabrics,,Printed Satin Linen,"44 Inch, FABRICS, neavy blue, New, New Jan 2021, Normal, Printed, Printed Satin Linen, ready, Satin Linen",TRUE,Title,Default Title,,,,,GK336068,35,shopify,16,deny,manual,187.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_8.jpg?v=1643031041,1,,FALSE,Buy Model Satin Printed Fabric Online,,,,,,,,,,,,,,,,g,,,active
satin-linen-neavy-blue-printed-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_9.jpg?v=1643031060,2,,,,,,,,,,,,,,,,,,,,,,
banarasi-tyedye-fabric,Banarasi Pink TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Saroj Fabrics,,Brocade,"44 Inch, Brocade, FABRICS, New Jan 2021, Normal, pink, ready",TRUE,Title,Default Title,,,,,GK340324,35,shopify,16,deny,manual,437.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_10.jpg?v=1643031575,1,,FALSE,Buy Orange Brocade Fabric Online,,,,,,,,,,,,,,,,g,,,active
banarasi-tyedye-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_11.jpg?v=1643031590,2,,,,,,,,,,,,,,,,,,,,,,
banarasi-blue-tyedye-fabric,Banarasi Blue TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Saroj Fabrics,,Brocade,"44 Inch, blue, Brocade, FABRICS, New Jan 2021, Normal, ready",TRUE,Title,Default Title,,,,,GK340324,35,shopify,16,deny,manual,437.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_12.jpg?v=1643031825,1,,FALSE,Buy Orange Brocade Fabric Online,,,,,,,,,,,,,,,,g,,,active
banarasi-blue-tyedye-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_13.jpg?v=1643031839,2,,,,,,,,,,,,,,,,,,,,,,
banarasi-green-tyedye-fabric,Banarasi Green TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Saroj Fabrics,,Brocade,"44 Inch, Brocade, FABRICS, green, New Jan 2021, Normal, ready",TRUE,Title,Default Title,,,,,GK340324,35,shopify,11,deny,manual,437.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_14.jpg?v=1643032179,1,,FALSE,Buy Orange Brocade Fabric Online,,,,,,,,,,,,,,,,g,,,active
banarasi-green-tyedye-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_15.jpg?v=1643032283,2,,,,,,,,,,,,,,,,,,,,,,
banarasi-pink-tyedye-fabric,Banarasi Pink TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Saroj Fabrics,,Brocade,"44 Inch, Brocade, FABRICS, New Jan 2021, Normal, pink, ready",TRUE,Title,Default Title,,,,,GK340324,35,shopify,16,deny,manual,437.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_17.jpg?v=1643032755,1,,FALSE,Buy Orange Brocade Fabric Online,,,,,,,,,,,,,,,,g,,,active
banarasi-pink-tyedye-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_16.jpg?v=1643032772,2,,,,,,,,,,,,,,,,,,,,,,
banarasi-dark-grey-tyedye-fabric,Banarasi Dark Grey TyeDye Fabric,<p>Banarasi Brocade Fabric</p>,Saroj Fabrics,,Brocade,"44 Inch, Brocade, dark grey, FABRICS, New Jan 2021, Normal, ready",TRUE,Title,Default Title,,,,,GK340324,35,shopify,16,deny,manual,437.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_18.jpg?v=1643033087,1,,FALSE,Buy Orange Brocade Fabric Online,,,,,,,,,,,,,,,,g,,,active
banarasi-dark-grey-tyedye-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_19.jpg?v=1643033104,2,,,,,,,,,,,,,,,,,,,,,,
georgette-off-white-embroidery-fabric-4,Georgette Off white Embroidery Fabric,"<p><span>The difference is that </span><b>Georgette</b><span> is made from silk yarns whereas faux </span><b>georgette</b><span> is made from yarns of nylon, rayon or polyester. Yes, poly </span><b>georgette</b><span> is a kind of faux </span><b>georgette</b><span>. Faux </span><b>georgette</b><span> is suitable for all seasons. It is very easy to do </span><b>embroidery</b><span> or print on this fabric.</span></p>",Saroj Fabrics,,Embroidered Georgette,"44 Inch, Embroidered, Embroidered Georgette, FABRICS, Georgette, New July, New September, off white, ready",TRUE,Title,Default Title,,,,,GK340145,60,shopify,16,deny,manual,637.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27.jpg?v=1643034756,1,,FALSE,Buy Georgette Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
georgette-off-white-embroidery-fabric-4,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.36.58_20.jpg?v=1643034770,2,,,,,,,,,,,,,,,,,,,,,,
net-off-white-embroidery-fabric,Net Off White Embroidery Fabric,,Saroj Fabrics,,Embroidered Net,"44 Inch, Embroidered, Embroidered Net, FABRICS, Net, Normal, off white, ready",TRUE,Title,Default Title,,,,,V120109,60,shopify,16,deny,manual,837.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_2.jpg?v=1643035024,1,,FALSE,Buy Golden Simmer Net With Stone Work Embroidery Fabric Online,"Gold Net With Red Thread Flowers Plus Sequins & Zari Embroidery Fabric. Net or netting is any textile in which the yarns are fused, looped or knotted at their intersections, resulting in a fabric with open spaces between the yarns. Net has many uses, and come in different varieties. Get our net embroideries and open yourself to a new creative aura of embroidered patterns of florals, geomet",,,,,,,,,,,,,,,g,,,active
net-off-white-embroidery-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_1.jpg?v=1643035040,2,,,,,,,,,,,,,,,,,,,,,,
cotton-embroidered-cream-fabric,Cotton Embroidered Cream Fabric,<p>Cotton Chander  Fabric</p>,Saroj Fabrics,,Embroidered Cotton,"44 Inch, cream, Embroidered, Embroidered Cotton, FABRICS, Light Yellow, New July, Normal, ready",TRUE,Title,Default Title,,,,,GK340701,60,shopify,14,deny,manual,187.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_3.jpg?v=1643035431,1,,FALSE,Buy Cotton Embroidered Fabric Online,,,,,,,,,,,,,,,,g,,,active
cotton-embroidered-cream-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_4.jpg?v=1643035444,2,,,,,,,,,,,,,,,,,,,,,,
slub-silk-jal-white-embroidery-fabric,Slub Silk Jal White Embroidery Fabric,,Saroj Fabrics,,Embroidered Raw Silk,"44 Inch, Embroidered, Embroidered Raw Silk, FABRICS, Grey, New July, Normal, Raw Silk, ready, white",TRUE,Title,Default Title,,,,,GK340406,60,shopify,16,deny,manual,1037.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_5.jpg?v=1643035827,1,,FALSE,Buy Silk Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
slub-silk-jal-white-embroidery-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_6.jpg?v=1643035842,2,,,,,,,,,,,,,,,,,,,,,,
chinnon-wine-embroidery-fabric,Chinnon Wine Embroidery Fabric,<p><br></p>,Saroj Fabrics,,Embroidered Chinon Chiffon,"44 Inch, Chiffon, Embroidered, Embroidered Chinon Chiffon, FABRICS, Fabrics of the Week, New Jan, Normal, ready, wine",TRUE,Title,Default Title,,,,,GK339418,35,shopify,16,deny,manual,337.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_7.jpg?v=1643036240,1,,FALSE,Buy Yellow Chinnon Embroidery Fabric Online,"Yellow Chinnon Embroidery Fabric. Chiffon is a lightweight plain-woven fabric with a mesh-like weave that gives it a transparent appearance. The word Chiffon has a French origin which means a cloth. It a  from cotton, silk or synthetic fibers like nylon, rayon and polyester. We offer a blend of both polyester and pure chiffon blend with our embroideries.",,,,,,,,,,,,,,,g,,,active
chinnon-wine-embroidery-fabric,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_8.jpg?v=1643036255,2,,,,,,,,,,,,,,,,,,,,,,
chinnon-red-embroidery-fabric-2,Chinnon Red Embroidery Fabric,<p><br></p>,Saroj Fabrics,,Embroidered Chinon Chiffon,"44 Inch, Chiffon, Embroidered, Embroidered Chinon Chiffon, FABRICS, Fabrics of the Week, New Jan, Normal, ready, red",TRUE,Title,Default Title,,,,,GK339418,35,shopify,16,deny,manual,337.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_9.jpg?v=1643036471,1,,FALSE,Buy Yellow Chinnon Embroidery Fabric Online,"Yellow Chinnon Embroidery Fabric. Chiffon is a lightweight plain-woven fabric with a mesh-like weave that gives it a transparent appearance. The word Chiffon has a French origin which means a cloth. It a  from cotton, silk or synthetic fibers like nylon, rayon and polyester. We offer a blend of both polyester and pure chiffon blend with our embroideries.",,,,,,,,,,,,,,,g,,,active
chinnon-red-embroidery-fabric-2,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-24at11.37.27_10.jpg?v=1643036485,2,,,,,,,,,,,,,,,,,,,,,,
georgette-embroidery-fabric-12,Georgette  Embroidery Fabric,<p>Georgette Embroidery Fabric</p>,Saroj Fabrics,,Embroidered Georgette,"44 Inch, Embroidered, Embroidered Georgette, FABRICS, Georgette, Georgette Lucknowi, New, New Jan 2021, ready",TRUE,Title,Default Title,,,,,,60,shopify,0,deny,manual,637.5,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.08_fc944be3-adc0-49c3-9f48-fe3ba9ac3b72.jpg?v=1643093985,1,,FALSE,Buy Georgette Luckhnowi Embroidery Fabric Online,,,,,,,,,,,,,,,,g,,,active
georgette-embroidery-fabric-12,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0096/8264/9145/products/WhatsAppImage2022-01-20at18.54.08_1_832f5a2a-7952-4993-81b7-eb195ae6d57d.jpg?v=1643094000,2,,,,,,,,,,,,,,,,,,,,,,
